JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AC	Journal des achats	0000008	20260107	628110	Services cloud hébergement SaaS			AC01F00407	20260107	Cloud hébergement SaaS - CLOUD HEXAGONE BAS CARBONE cloud_h=1000	2160,00	0,00			20260107		
AC	Journal des achats	0000008	20260107	445660	TVA déductible autres biens et services			AC01F00407	20260107	Cloud hébergement SaaS - CLOUD HEXAGONE BAS CARBONE cloud_h=1000	432,00	0,00			20260107		
AC	Journal des achats	0000008	20260107	401000	Fournisseurs	F004	CLOUD HEXAGONE BAS CARBONE	AC01F00407	20260107	Cloud hébergement SaaS - CLOUD HEXAGONE BAS CARBONE cloud_h=1000	0,00	2592,00			20260107		
AC	Journal des achats	0000009	20260108	628120	Stockage cloud et sauvegarde			AC01F00408	20260108	Stockage cloud sauvegarde - CLOUD HEXAGONE BAS CARBONE To_mois=32	465,00	0,00			20260108		
AC	Journal des achats	0000009	20260108	445660	TVA déductible autres biens et services			AC01F00408	20260108	Stockage cloud sauvegarde - CLOUD HEXAGONE BAS CARBONE To_mois=32	93,00	0,00			20260108		
AC	Journal des achats	0000009	20260108	401000	Fournisseurs	F004	CLOUD HEXAGONE BAS CARBONE	AC01F00408	20260108	Stockage cloud sauvegarde - CLOUD HEXAGONE BAS CARBONE To_mois=32	0,00	558,00			20260108		
AC	Journal des achats	0000010	20260109	628130	Services cybersécurité externalisés			AC01F02209	20260109	Services cybersécurité externalisés - CYBER SECURITE ATLANTIQUE	430,00	0,00			20260109		
AC	Journal des achats	0000010	20260109	445660	TVA déductible autres biens et services			AC01F02209	20260109	Services cybersécurité externalisés - CYBER SECURITE ATLANTIQUE	86,00	0,00			20260109		
AC	Journal des achats	0000010	20260109	401000	Fournisseurs	F022	CYBER SECURITE ATLANTIQUE	AC01F02209	20260109	Services cybersécurité externalisés - CYBER SECURITE ATLANTIQUE	0,00	516,00			20260109		
AC	Journal des achats	0000011	20260110	626100	Internet et télécommunications fixes			AC01F00510	20260110	Internet fibre bureaux - TELECOM AQUITAINE	330,00	0,00			20260110		
AC	Journal des achats	0000011	20260110	445660	TVA déductible autres biens et services			AC01F00510	20260110	Internet fibre bureaux - TELECOM AQUITAINE	66,00	0,00			20260110		
AC	Journal des achats	0000011	20260110	401000	Fournisseurs	F005	TELECOM AQUITAINE	AC01F00510	20260110	Internet fibre bureaux - TELECOM AQUITAINE	0,00	396,00			20260110		
AC	Journal des achats	0000012	20260110	626200	Téléphonie mobile			AC01F00510	20260110	Téléphonie mobile flotte - TELECOM AQUITAINE	272,00	0,00			20260110		
AC	Journal des achats	0000012	20260110	445660	TVA déductible autres biens et services			AC01F00510	20260110	Téléphonie mobile flotte - TELECOM AQUITAINE	54,40	0,00			20260110		
AC	Journal des achats	0000012	20260110	401000	Fournisseurs	F005	TELECOM AQUITAINE	AC01F00510	20260110	Téléphonie mobile flotte - TELECOM AQUITAINE	0,00	326,40			20260110		
AC	Journal des achats	0000013	20260110	626300	Affranchissements et courriers			AC01F00510	20260110	Courrier et affranchissement - TELECOM AQUITAINE	42,00	0,00			20260110		
AC	Journal des achats	0000013	20260110	445660	TVA déductible autres biens et services			AC01F00510	20260110	Courrier et affranchissement - TELECOM AQUITAINE	8,40	0,00			20260110		
AC	Journal des achats	0000013	20260110	401000	Fournisseurs	F005	TELECOM AQUITAINE	AC01F00510	20260110	Courrier et affranchissement - TELECOM AQUITAINE	0,00	50,40			20260110		
VE	Journal des ventes	0000014	20260111	411000	Clients	C002	CLIENT PORT GARONNE ANALYTICS	VE01B	20260111	Facture CLIENT PORT GARONNE ANALYTICS 01/2026 projet=PLATEFORME	42960,00	0,00			20260111		
VE	Journal des ventes	0000014	20260111	706200	Prestations développement prototype			VE01B	20260111	Facture CLIENT PORT GARONNE ANALYTICS 01/2026 projet=PLATEFORME	0,00	25480,00			20260111		
VE	Journal des ventes	0000014	20260111	706500	Prestations maintenance data platform			VE01B	20260111	Facture CLIENT PORT GARONNE ANALYTICS 01/2026 projet=PLATEFORME	0,00	10320,00			20260111		
VE	Journal des ventes	0000014	20260111	445710	TVA collectée			VE01B	20260111	Facture CLIENT PORT GARONNE ANALYTICS 01/2026 projet=PLATEFORME	0,00	7160,00			20260111		
AC	Journal des achats	0000015	20260112	606300	Petit équipement informatique			AC01F01412	20260112	Petit équipement informatique réparable - BUREAU ET CONSOMMABLES 33	295,00	0,00			20260112		
AC	Journal des achats	0000015	20260112	445660	TVA déductible autres biens et services			AC01F01412	20260112	Petit équipement informatique réparable - BUREAU ET CONSOMMABLES 33	59,00	0,00			20260112		
AC	Journal des achats	0000015	20260112	401000	Fournisseurs	F014	BUREAU ET CONSOMMABLES 33	AC01F01412	20260112	Petit équipement informatique réparable - BUREAU ET CONSOMMABLES 33	0,00	354,00			20260112		
AC	Journal des achats	0000016	20260113	606310	Consommables informatiques			AC01F01413	20260113	Consommables informatiques - BUREAU ET CONSOMMABLES 33	113,00	0,00			20260113		
AC	Journal des achats	0000016	20260113	445660	TVA déductible autres biens et services			AC01F01413	20260113	Consommables informatiques - BUREAU ET CONSOMMABLES 33	22,60	0,00			20260113		
AC	Journal des achats	0000016	20260113	401000	Fournisseurs	F014	BUREAU ET CONSOMMABLES 33	AC01F01413	20260113	Consommables informatiques - BUREAU ET CONSOMMABLES 33	0,00	135,60			20260113		
AC	Journal des achats	0000017	20260114	606400	Fournitures administratives			AC01F01414	20260114	Fournitures administratives - BUREAU ET CONSOMMABLES 33	240,00	0,00			20260114		
AC	Journal des achats	0000017	20260114	445660	TVA déductible autres biens et services			AC01F01414	20260114	Fournitures administratives - BUREAU ET CONSOMMABLES 33	48,00	0,00			20260114		
AC	Journal des achats	0000017	20260114	401000	Fournisseurs	F014	BUREAU ET CONSOMMABLES 33	AC01F01414	20260114	Fournitures administratives - BUREAU ET CONSOMMABLES 33	0,00	288,00			20260114		
AC	Journal des achats	0000018	20260114	606410	Papier recyclé et imprimés internes			AC01F01414	20260114	Papier recyclé - BUREAU ET CONSOMMABLES 33 ramettes=6	65,00	0,00			20260114		
AC	Journal des achats	0000018	20260114	445660	TVA déductible autres biens et services			AC01F01414	20260114	Papier recyclé - BUREAU ET CONSOMMABLES 33 ramettes=6	13,00	0,00			20260114		
AC	Journal des achats	0000018	20260114	401000	Fournisseurs	F014	BUREAU ET CONSOMMABLES 33	AC01F01414	20260114	Papier recyclé - BUREAU ET CONSOMMABLES 33 ramettes=6	0,00	78,00			20260114		
AC	Journal des achats	0000019	20260115	606420	Fournitures responsables labellisées			AC01F01415	20260115	Fournitures labellisées responsables - BUREAU ET CONSOMMABLES 33	87,00	0,00			20260115		
AC	Journal des achats	0000019	20260115	445660	TVA déductible autres biens et services			AC01F01415	20260115	Fournitures labellisées responsables - BUREAU ET CONSOMMABLES 33	17,40	0,00			20260115		
AC	Journal des achats	0000019	20260115	401000	Fournisseurs	F014	BUREAU ET CONSOMMABLES 33	AC01F01415	20260115	Fournitures labellisées responsables - BUREAU ET CONSOMMABLES 33	0,00	104,40			20260115		
AC	Journal des achats	0000020	20260115	606210	Fournitures entretien écoresponsables			AC01F01415	20260115	Produits entretien écoresponsables - BUREAU ET CONSOMMABLES 33	105,00	0,00			20260115		
AC	Journal des achats	0000020	20260115	445660	TVA déductible autres biens et services			AC01F01415	20260115	Produits entretien écoresponsables - BUREAU ET CONSOMMABLES 33	21,00	0,00			20260115		
AC	Journal des achats	0000020	20260115	401000	Fournisseurs	F014	BUREAU ET CONSOMMABLES 33	AC01F01415	20260115	Produits entretien écoresponsables - BUREAU ET CONSOMMABLES 33	0,00	126,00			20260115		
AC	Journal des achats	0000021	20260115	606220	Produits hygiène sécurité			AC01F01415	20260115	Produits hygiène sécurité - BUREAU ET CONSOMMABLES 33	48,00	0,00			20260115		
AC	Journal des achats	0000021	20260115	445660	TVA déductible autres biens et services			AC01F01415	20260115	Produits hygiène sécurité - BUREAU ET CONSOMMABLES 33	9,60	0,00			20260115		
AC	Journal des achats	0000021	20260115	401000	Fournisseurs	F014	BUREAU ET CONSOMMABLES 33	AC01F01415	20260115	Produits hygiène sécurité - BUREAU ET CONSOMMABLES 33	0,00	57,60			20260115		
AC	Journal des achats	0000022	20260116	625120	Transports urbains			AC01F00916	20260116	Transports urbains - MOBILITE ATLANTIQUE km_urbain=305	280,00	0,00			20260116		
AC	Journal des achats	0000022	20260116	445660	TVA déductible autres biens et services			AC01F00916	20260116	Transports urbains - MOBILITE ATLANTIQUE km_urbain=305	28,00	0,00			20260116		
AC	Journal des achats	0000022	20260116	401000	Fournisseurs	F009	MOBILITE ATLANTIQUE	AC01F00916	20260116	Transports urbains - MOBILITE ATLANTIQUE km_urbain=305	0,00	308,00			20260116		
AC	Journal des achats	0000023	20260116	625110	Voyages professionnels train			AC01F01016	20260116	Voyages professionnels train - SNCF CONNECT PRO km_train=1800	880,00	0,00			20260116		
AC	Journal des achats	0000023	20260116	445660	TVA déductible autres biens et services			AC01F01016	20260116	Voyages professionnels train - SNCF CONNECT PRO km_train=1800	88,00	0,00			20260116		
AC	Journal des achats	0000023	20260116	401000	Fournisseurs	F010	SNCF CONNECT PRO	AC01F01016	20260116	Voyages professionnels train - SNCF CONNECT PRO km_train=1800	0,00	968,00			20260116		
AC	Journal des achats	0000024	20260117	625130	Taxis VTC			AC01F01117	20260117	Taxis VTC - VTC GIRONDE PRO km_vtc=115	185,00	0,00			20260117		
AC	Journal des achats	0000024	20260117	445660	TVA déductible autres biens et services			AC01F01117	20260117	Taxis VTC - VTC GIRONDE PRO km_vtc=115	18,50	0,00			20260117		
AC	Journal des achats	0000024	20260117	401000	Fournisseurs	F011	VTC GIRONDE PRO	AC01F01117	20260117	Taxis VTC - VTC GIRONDE PRO km_vtc=115	0,00	203,50			20260117		
VE	Journal des ventes	0000025	20260117	411000	Clients	C003	CLIENT NOVA BASSIN NUMERIQUE	VE01C	20260117	Facture CLIENT NOVA BASSIN NUMERIQUE 01/2026 projet=FORMATION_ESG	33768,00	0,00			20260117		
VE	Journal des ventes	0000025	20260117	706300	Prestations formation ateliers			VE01C	20260117	Facture CLIENT NOVA BASSIN NUMERIQUE 01/2026 projet=FORMATION_ESG	0,00	12500,00			20260117		
VE	Journal des ventes	0000025	20260117	706400	Prestations diagnostic ESG data			VE01C	20260117	Facture CLIENT NOVA BASSIN NUMERIQUE 01/2026 projet=FORMATION_ESG	0,00	15640,00			20260117		
VE	Journal des ventes	0000025	20260117	445710	TVA collectée			VE01C	20260117	Facture CLIENT NOVA BASSIN NUMERIQUE 01/2026 projet=FORMATION_ESG	0,00	5628,00			20260117		
AC	Journal des achats	0000026	20260118	625170	Indemnités kilométriques			AC01F00918	20260118	Indemnités kilométriques - MOBILITE ATLANTIQUE km_voiture=240	180,00	0,00			20260118		
AC	Journal des achats	0000026	20260118	401000	Fournisseurs	F009	MOBILITE ATLANTIQUE	AC01F00918	20260118	Indemnités kilométriques - MOBILITE ATLANTIQUE km_voiture=240	0,00	180,00			20260118		
AC	Journal des achats	0000027	20260118	625150	Hébergement missions			AC01F01318	20260118	Hébergement missions - HOTELS RESPONSABLES FRANCE nuitées=4	520,00	0,00			20260118		
AC	Journal des achats	0000027	20260118	445660	TVA déductible autres biens et services			AC01F01318	20260118	Hébergement missions - HOTELS RESPONSABLES FRANCE nuitées=4	52,00	0,00			20260118		
AC	Journal des achats	0000027	20260118	401000	Fournisseurs	F013	HOTELS RESPONSABLES FRANCE	AC01F01318	20260118	Hébergement missions - HOTELS RESPONSABLES FRANCE nuitées=4	0,00	572,00			20260118		
AC	Journal des achats	0000028	20260118	625160	Repas en déplacement			AC01F02818	20260118	Repas déplacement - TRAITEUR LOCAL RESPONSABLE	425,00	0,00			20260118		
AC	Journal des achats	0000028	20260118	445660	TVA déductible autres biens et services			AC01F02818	20260118	Repas déplacement - TRAITEUR LOCAL RESPONSABLE	42,50	0,00			20260118		
AC	Journal des achats	0000028	20260118	401000	Fournisseurs	F028	TRAITEUR LOCAL RESPONSABLE	AC01F02818	20260118	Repas déplacement - TRAITEUR LOCAL RESPONSABLE	0,00	467,50			20260118		
AC	Journal des achats	0000029	20260119	624700	Transports collectifs du personnel			AC01F00919	20260119	Transport collectif personnel événement interne - MOBILITE ATLANTIQUE	245,00	0,00			20260119		
AC	Journal des achats	0000029	20260119	445660	TVA déductible autres biens et services			AC01F00919	20260119	Transport collectif personnel événement interne - MOBILITE ATLANTIQUE	24,50	0,00			20260119		
AC	Journal des achats	0000029	20260119	401000	Fournisseurs	F009	MOBILITE ATLANTIQUE	AC01F00919	20260119	Transport collectif personnel événement interne - MOBILITE ATLANTIQUE	0,00	269,50			20260119		
AC	Journal des achats	0000030	20260119	624400	Transports administratifs			AC01F00919	20260119	Transport administratif - MOBILITE ATLANTIQUE	100,00	0,00			20260119		
AC	Journal des achats	0000030	20260119	445660	TVA déductible autres biens et services			AC01F00919	20260119	Transport administratif - MOBILITE ATLANTIQUE	10,00	0,00			20260119		
AC	Journal des achats	0000030	20260119	401000	Fournisseurs	F009	MOBILITE ATLANTIQUE	AC01F00919	20260119	Transport administratif - MOBILITE ATLANTIQUE	0,00	110,00			20260119		
AC	Journal des achats	0000031	20260120	628200	Nettoyage des locaux			AC01F02420	20260120	Nettoyage écologique bureaux - NETTOYAGE VERT BORDEAUX	625,00	0,00			20260120		
AC	Journal des achats	0000031	20260120	445660	TVA déductible autres biens et services			AC01F02420	20260120	Nettoyage écologique bureaux - NETTOYAGE VERT BORDEAUX	125,00	0,00			20260120		
AC	Journal des achats	0000031	20260120	401000	Fournisseurs	F024	NETTOYAGE VERT BORDEAUX	AC01F02420	20260120	Nettoyage écologique bureaux - NETTOYAGE VERT BORDEAUX	0,00	750,00			20260120		
BQ	Journal de banque	0000032	20260120	401000	Fournisseurs	F001	BAIL ATLANTIQUE BUREAUX	REGAC01F00102	20260120	Règlement fournisseur AC01F00102	5040,00	0,00			20260120		
BQ	Journal de banque	0000032	20260120	512000	Banque principale			REGAC01F00102	20260120	Règlement fournisseur AC01F00102	0,00	5040,00			20260120		
AC	Journal des achats	0000033	20260121	628800	Collecte déchets non dangereux			AC01F01621	20260121	Collecte déchets non dangereux - CYCLORECYCLE GIRONDE kg_dechets=95	190,00	0,00			20260121		
AC	Journal des achats	0000033	20260121	445660	TVA déductible autres biens et services			AC01F01621	20260121	Collecte déchets non dangereux - CYCLORECYCLE GIRONDE kg_dechets=95	38,00	0,00			20260121		
AC	Journal des achats	0000033	20260121	401000	Fournisseurs	F016	CYCLORECYCLE GIRONDE	AC01F01621	20260121	Collecte déchets non dangereux - CYCLORECYCLE GIRONDE kg_dechets=95	0,00	228,00			20260121		
AC	Journal des achats	0000034	20260121	628810	Recyclage papier carton			AC01F01621	20260121	Recyclage papier carton - CYCLORECYCLE GIRONDE kg_papier=44	103,00	0,00			20260121		
AC	Journal des achats	0000034	20260121	445660	TVA déductible autres biens et services			AC01F01621	20260121	Recyclage papier carton - CYCLORECYCLE GIRONDE kg_papier=44	20,60	0,00			20260121		
AC	Journal des achats	0000034	20260121	401000	Fournisseurs	F016	CYCLORECYCLE GIRONDE	AC01F01621	20260121	Recyclage papier carton - CYCLORECYCLE GIRONDE kg_papier=44	0,00	123,60			20260121		
BQ	Journal de banque	0000035	20260121	401000	Fournisseurs	F001	BAIL ATLANTIQUE BUREAUX	REGAC01F00103	20260121	Règlement fournisseur AC01F00103	762,00	0,00			20260121		
BQ	Journal de banque	0000035	20260121	512000	Banque principale			REGAC01F00103	20260121	Règlement fournisseur AC01F00103	0,00	762,00			20260121		
AC	Journal des achats	0000036	20260122	628840	Biodéchets compost			AC01F01622	20260122	Compost biodéchets - CYCLORECYCLE GIRONDE kg_biodechets=27	77,00	0,00			20260122		
AC	Journal des achats	0000036	20260122	445660	TVA déductible autres biens et services			AC01F01622	20260122	Compost biodéchets - CYCLORECYCLE GIRONDE kg_biodechets=27	15,40	0,00			20260122		
AC	Journal des achats	0000036	20260122	401000	Fournisseurs	F016	CYCLORECYCLE GIRONDE	AC01F01622	20260122	Compost biodéchets - CYCLORECYCLE GIRONDE kg_biodechets=27	0,00	92,40			20260122		
BQ	Journal de banque	0000037	20260122	401000	Fournisseurs	F002	ENERGIE GARONNE	REGAC01F00204	20260122	Règlement fournisseur AC01F00204	1260,00	0,00			20260122		
BQ	Journal de banque	0000037	20260122	512000	Banque principale			REGAC01F00204	20260122	Règlement fournisseur AC01F00204	0,00	1260,00			20260122		
BQ	Journal de banque	0000038	20260122	401000	Fournisseurs	F002	ENERGIE GARONNE	REGAC01F00204	20260122	Règlement fournisseur AC01F00204	372,00	0,00			20260122		
BQ	Journal de banque	0000038	20260122	512000	Banque principale			REGAC01F00204	20260122	Règlement fournisseur AC01F00204	0,00	372,00			20260122		
AC	Journal des achats	0000039	20260123	622610	Honoraires comptables			AC01F00623	20260123	Honoraires comptables trimestriels - CABINET COMPTA RIVE GAUCHE	1450,00	0,00			20260123		
AC	Journal des achats	0000039	20260123	445660	TVA déductible autres biens et services			AC01F00623	20260123	Honoraires comptables trimestriels - CABINET COMPTA RIVE GAUCHE	290,00	0,00			20260123		
AC	Journal des achats	0000039	20260123	401000	Fournisseurs	F006	CABINET COMPTA RIVE GAUCHE	AC01F00623	20260123	Honoraires comptables trimestriels - CABINET COMPTA RIVE GAUCHE	0,00	1740,00			20260123		
AC	Journal des achats	0000040	20260123	622620	Honoraires juridiques			AC01F00723	20260123	Honoraires juridiques conformité - LEXDATA AVOCATS	980,00	0,00			20260123		
AC	Journal des achats	0000040	20260123	445660	TVA déductible autres biens et services			AC01F00723	20260123	Honoraires juridiques conformité - LEXDATA AVOCATS	196,00	0,00			20260123		
AC	Journal des achats	0000040	20260123	401000	Fournisseurs	F007	LEXDATA AVOCATS	AC01F00723	20260123	Honoraires juridiques conformité - LEXDATA AVOCATS	0,00	1176,00			20260123		
BQ	Journal de banque	0000041	20260123	401000	Fournisseurs	F003	EAU BORDEAUX METROPOLE	REGAC01F00305	20260123	Règlement fournisseur AC01F00305	128,40	0,00			20260123		
BQ	Journal de banque	0000041	20260123	512000	Banque principale			REGAC01F00305	20260123	Règlement fournisseur AC01F00305	0,00	128,40			20260123		
BQ	Journal de banque	0000042	20260125	401000	Fournisseurs	F004	CLOUD HEXAGONE BAS CARBONE	REGAC01F00407	20260125	Règlement fournisseur AC01F00407	2592,00	0,00			20260125		
BQ	Journal de banque	0000042	20260125	512000	Banque principale			REGAC01F00407	20260125	Règlement fournisseur AC01F00407	0,00	2592,00			20260125		
AC	Journal des achats	0000043	20260126	633300	Contribution formation professionnelle			AC01F01526	20260126	Formation professionnelle salariés - FORMADATA SUD OUEST heures_formation=70	2450,00	0,00			20260126		
AC	Journal des achats	0000043	20260126	401000	Fournisseurs	F015	FORMADATA SUD OUEST	AC01F01526	20260126	Formation professionnelle salariés - FORMADATA SUD OUEST heures_formation=70	0,00	2450,00			20260126		
BQ	Journal de banque	0000044	20260126	401000	Fournisseurs	F004	CLOUD HEXAGONE BAS CARBONE	REGAC01F00408	20260126	Règlement fournisseur AC01F00408	558,00	0,00			20260126		
BQ	Journal de banque	0000044	20260126	512000	Banque principale			REGAC01F00408	20260126	Règlement fournisseur AC01F00408	0,00	558,00			20260126		
AC	Journal des achats	0000045	20260127	615600	Maintenance informatique			AC01F01827	20260127	Maintenance informatique - MAINTENANCE IT OCEANE	630,00	0,00			20260127		
AC	Journal des achats	0000045	20260127	445660	TVA déductible autres biens et services			AC01F01827	20260127	Maintenance informatique - MAINTENANCE IT OCEANE	126,00	0,00			20260127		
AC	Journal des achats	0000045	20260127	401000	Fournisseurs	F018	MAINTENANCE IT OCEANE	AC01F01827	20260127	Maintenance informatique - MAINTENANCE IT OCEANE	0,00	756,00			20260127		
BQ	Journal de banque	0000046	20260127	627800	Frais bancaires			FB01	20260127	Frais bancaires 01/2026	123,00	0,00			20260127		
BQ	Journal de banque	0000046	20260127	512000	Banque principale			FB01	20260127	Frais bancaires 01/2026	0,00	123,00			20260127		
BQ	Journal de banque	0000047	20260127	401000	Fournisseurs	F022	CYBER SECURITE ATLANTIQUE	REGAC01F02209	20260127	Règlement fournisseur AC01F02209	516,00	0,00			20260127		
BQ	Journal de banque	0000047	20260127	512000	Banque principale			REGAC01F02209	20260127	Règlement fournisseur AC01F02209	0,00	516,00			20260127		
AC	Journal des achats	0000048	20260128	651100	Redevances licences logicielles			AC01F01928	20260128	Licences logicielles - LICENCES LOGICIELLES EUROPE	1110,00	0,00			20260128		
AC	Journal des achats	0000048	20260128	445660	TVA déductible autres biens et services			AC01F01928	20260128	Licences logicielles - LICENCES LOGICIELLES EUROPE	222,00	0,00			20260128		
AC	Journal des achats	0000048	20260128	401000	Fournisseurs	F019	LICENCES LOGICIELLES EUROPE	AC01F01928	20260128	Licences logicielles - LICENCES LOGICIELLES EUROPE	0,00	1332,00			20260128		
AC	Journal des achats	0000049	20260128	628500	Abonnements outils collaboratifs			AC01F01928	20260128	Abonnements outils collaboratifs - LICENCES LOGICIELLES EUROPE	500,00	0,00			20260128		
AC	Journal des achats	0000049	20260128	445660	TVA déductible autres biens et services			AC01F01928	20260128	Abonnements outils collaboratifs - LICENCES LOGICIELLES EUROPE	100,00	0,00			20260128		
